región,ave,ovino,porcino,vacuno,caprino,alpaca,llama,year
Lima,2.256489999889846,12.236852764028864,64.55699676735657,187.6465715962948,13.131346769822107,26.46758183738121,31.911687544604924,2018
Ica,2.141738367379251,13.015100963977678,40.13151378750221,153.20787694444445,14.020480860397655,0,0,2018
Huánuco,1.9407405081416715,11.324247701702465,36.18234142343245,147.2645945913756,9.674680220245659,26.14511873350924,0,2018
Pasco,2.090250605242754,12.646388582277028,39.34268897207194,155.78063870939187,11.666355275022543,23.61875492610837,28.913145980082586,2018
Junín,2.1965061361905995,10.585013472735465,42.36702981140581,124.513752910075,10.476469899652077,27.982152316134474,28.726688519667984,2018
Huancavelica,1.8974425633582603,12.368539836677513,35.947192379747406,115.9746419969327,12.835864415218023,26.139603959771247,34.8520908455769,2018
Arequipa,2.2264425195048276,14.75268880089063,54.76486762921909,160.42180915545805,12.38919590643275,27.139470613971127,34.29873197173555,2018
Moquegua,1.9586141944152096,20.88023143683703,44.41964860036287,217.62248303167425,15.530757341576507,31.125314533622557,42.97152682255845,2018
Tacna,2.2136429031655656,23.4253346959632,39.360154768031755,192.8296032379032,14.233191489361705,28.575988816148385,29.302976057283505,2018
Ayacucho,1.949812980473009,11.910941512087325,44.19716841598802,124.53781102291984,11.724877132119111,26.357294220452946,30.205407746566024,2018
Apurímac,1.8977318604599247,11.549225752860808,41.397755537131346,110.97726196115586,10.959497447077045,24.837168219758865,29.743115452561568,2018
Cusco,2.097365349964399,12.891267706932675,48.680709016318055,149.27070581076967,12.476503972758229,26.961917016806723,29.217959902465452,2018
Puno,1.9024966262428247,13.549618249822261,33.27743150240229,143.5919476944253,0,27.423391015989786,38.36627002058543,2018
San Martín,2.176251277908009,10.91699346405229,43.60209284004936,108.56528341079384,0,0,0,2018
Loreto,2.1961305262399313,11.708717643558465,45.72176472382346,112.94854486719312,0,0,0,2018
Ucayali,2.2014049406250997,12.112255663430421,36.99118206172311,130.34510534057782,0,0,0,2018
M.de Dios,2.2107916957930485,17.68674157303371,62.29613565704022,162.22359910123672,0,0,0,2018
Tumbes,2.275727255605901,11.928552971576229,49.850644475034414,155.2032575356954,11.513481607691608,0,0,2017
Piura,2.176085382088384,11.736467510343315,42.79933199156049,168.19946508807098,14.547674818753205,0,0,2017
Lambayeque,2.178766622748351,18.663739335180058,56.481463046501375,138.6497698891792,14.886620449673208,0,0,2017
La Libertad,2.1952630594626137,13.115692198997838,56.626553109103845,139.58501860240523,13.614028218979279,31.35761925042589,0,2017
Cajamarca,1.9721806276926215,11.843185796011928,43.207980782084206,127.56124040664038,8.172044432594333,0,0,2017
Amazonas,2.1292702756320168,15.303116490166419,51.014260495188154,148.89120400167573,12.615753272686932,0,0,2017
Ancash,2.2290139435903358,10.391161323205885,32.5249969281464,127.59068055374823,10.451096319498827,28.673237484035752,0,2017
Lima,2.2467698094277577,12.071259871146452,63.154296795298144,187.95372729760433,12.456536596457141,27.172021946240214,31.377346274264244,2017
Ica,2.07416969217948,12.178425955414015,42.1297136807957,162.46724356275305,14.169085495876082,0,0,2017
Huánuco,1.9013826862615408,10.7170042467782,32.64503695576856,153.43451739590537,9.117046260659572,26.4409509202454,27.5,2017
Pasco,1.9753233092870446,13.855818294884655,36.861390604965614,156.19844137122948,11.393298570227083,24.207514691478938,29.58113757700205,2017
Junín,2.163607234586646,10.836543696333875,41.69612802505368,123.11497708737865,10.246576518566217,21.446155386463758,28.519534664854124,2017
Huancavelica,1.8737064155134542,12.635345923166767,34.751815673805304,114.95974704646346,12.865910307338488,25.880790220194406,34.099780186881986,2017
Arequipa,2.1996619668546153,14.820209541381125,56.00682193468886,161.16271694123864,11.40323488045007,25.245166769283028,31.722711355677834,2017
Moquegua,1.9793178277829133,21.161252818842396,40.970864008890125,233.21011355571326,15.545644599303136,31.128239845261135,43.21051454138703,2017
Tacna,2.186206384939669,23.201273723092594,39.35561529450636,192.28673145577153,14.316129032258065,28.861981967731726,29.226573110004527,2017
Ayacucho,1.927908292972412,11.906392895057094,44.02946807908003,128.54408558208652,11.861477665655213,26.60266502115656,30.325209643605874,2017
Apurímac,1.8767902961087002,11.475981112904188,40.83636001932532,109.49154122197885,10.778695338912595,24.812543599581442,29.521780974571975,2017
Cusco,2.060356743717817,11.24265770513931,40.27987557320016,143.6494099718548,12.289629027890603,27.022080065787915,29.25475898920182,2017
Puno,1.8766369983385234,13.451974691511188,33.0984569067758,143.32853181706506,0,27.383047600703055,38.23406414839629,2017
San Martín,2.164601212222404,10.991614225409084,44.146883625887725,108.31165895401162,0,0,0,2017
Loreto,2.164189897498084,11.526805778491171,42.98009963719066,140.26617839149094,0,0,0,2017
Ucayali,2.154091914281422,11.764577198148928,40.51889706223604,128.59165114498947,0,0,0,2017
Madre de Dios,2.1711981657125685,19.443593018305666,64.10823171198774,165.82471399125546,0,0,0,2017
